Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Instituto da Assistência Médica ao Servidor Público Estadual;44044;PREGÃO ELETRÔNICO;COMERCIAL 3 ALBE LTDA.;17/03/2020 00:00;18/03/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387213
Penitenciária Maurício Henrique Guimarães Pereira de Presidente Venceslau;2020NE00161;CONVITE;JM DA SILVA OLIVEIRA ME;04/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395007
Penitenciária Ten. PM José Alfredo Cintra Borin de Reginópolis;023/2019;PREGÃO ELETRÔNICO;COMERCIO DE OVOS JF DE ADAMANTINA LTDA – ME ;13/02/2020 00:00;18/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1376549
Penitenciária Maurício Henrique Guimarães Pereira de Presidente Venceslau;2020NE00162;CONVITE;MUCCIO & MUCCIO LTDA;04/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395007
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00374;PREGÃO ELETRÔNICO;FORMED BR – MATERIAIS MÉDICOS E HOSPITALARES EIREL;16/03/2020 00:00;18/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392009
Unesp Marília - Faculdade de Filosofia e Ciências;05/2017-CM;PREGÃO ELETRÔNICO;ADA HOME CARE EIRELLI;12/03/2020 00:00;18/03/2020 00:00;6;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1172371
Centro de Detenção Provisória de Capela do Alto;090/2019;PREGÃO ELETRÔNICO;PILAR COMERCIO DE CEREAIS LTDA ME;17/12/2019 00:00;19/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378156
Departamento Regional de Saúde de Bauru DRS VI;2020CT00340;PREGÃO ELETRÔNICO;ASTRAZENECA DO BRASIL LTDA;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389860
Departamento Regional de Saúde de Bauru DRS VI;2020CT00341;PREGÃO ELETRÔNICO;DROGARIA BARÃO EIRELI;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389866
Penitenciária Nilton Silva de Franco da Rocha;18;PREGÃO ELETRÔNICO;,MR LACERDA DISTRIBUIDORA;21/03/2020 00:00;19/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381762
Departamento Regional de Saúde de Bauru DRS VI;2020CT00342;PREGÃO ELETRÔNICO;EXATA DISTRIBUIDORA DE MEDICAMENTOS - EIRELI;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389866
Centro Regional de Administração de Ribeirão Preto;23708-SAAC-00028-201;PREGÃO ELETRÔNICO;AMATEC AMAZôNIA TECNOLOGIA E SISTEMAS LTDA-EPP;05/03/2020 00:00;19/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1058661
Departamento Regional de Saúde de Bauru DRS VI;2020CT00343;PREGÃO ELETRÔNICO;MANZATOS FARMA LTDA - ME;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389866
DEPTO DE POLICIA JUDIC DE SAO PAULO INTERIOR DEINTER 10;002/2020;PREGÃO ELETRÔNICO;ROSANA FORTES EPP;17/03/2020 00:00;19/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396565
Companhia Paulista de Trens Metropolitanos;54119106100;PREGÃO ELETRÔNICO;BMP DO BRASIL COMÉRCIO DE PEÇAS EIRELI ;18/03/2020 00:00;19/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383197
Companhia Paulista de Trens Metropolitanos;822419306100;PREGÃO ELETRÔNICO;SOLA & GIRALDI LTDA ;17/03/2020 00:00;19/03/2020 00:00;1;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381040
Companhia Paulista de Trens Metropolitanos;63619206100;PREGÃO ELETRÔNICO;FASTRAIL EQUIPAMENTOS E COMPONENTES FERROVIÁRIOS E;16/03/2020 00:00;19/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391337
Departamento Regional de Saúde de Bauru DRS VI;2020CT00345;PREGÃO ELETRÔNICO;CFV COMERCIO DE PRODUTOS NUTRICIONAIS, NATURAIS E ;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394088
Departamento Regional de Saúde de Bauru DRS VI;2020ct00346;PREGÃO ELETRÔNICO;RICARDO RUBIO ME;10/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394088
Escola Superior de Agricultura Luiz de Queiroz;13/2020;PREGÃO ELETRÔNICO;Technos Publicações Ltda.;02/03/2020 00:00;19/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390087
Departamento Regional de Saúde de Bauru DRS VI;2020CT00347;PREGÃO ELETRÔNICO;RCV DO BRASIL EIRELI;11/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394108
Departamento Regional de Saúde de Bauru DRS VI;2020CT00358;PREGÃO ELETRÔNICO;ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E;17/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392386
Escola Superior de Agricultura Luiz de Queiroz;44166;PREGÃO ELETRÔNICO;Exito Distribuidora e Comércio de Livros Ltda.;02/03/2020 00:00;19/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390087
EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA;ASL/AAS/5003/2015;PREGÃO ELETRÔNICO;Reis Office Products Serviços Ltda;04/03/2020 00:00;19/03/2020 00:00;24;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=971679
Hospital Regional de Ferraz de Vasconcelos;2020NE00254;PREGÃO ELETRÔNICO;CARLA DE OLIVEIRA CORREA;18/03/2020 00:00;19/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395359
Companhia do Metropolitano de São Paulo - Metrô;1000175701;PREGÃO ELETRÔNICO;VALENTIM & ROSA COMERCIAL LTDA EPP;18/03/2020 00:00;19/03/2020 00:00;7;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1228334
Hospital Geral de São Mateus;44075;PREGÃO ELETRÔNICO;Aoyagi Comércio de Materiais de Limpeza, Descartáv;10/03/2020 00:00;19/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390702
Prefeitura do Campus USP de Bauru;42156;PREGÃO ELETRÔNICO;ATENTO SÃO PAULO SERVIÇOS DE SEGURANÇA PATRIMONIAL;03/03/2020 00:00;19/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=990514
Centro de Reabilitaçao de Casa Branca;2020NE00343;PREGÃO ELETRÔNICO;DUPATRI HOSPITALAR COM. IMP. EXP. LTDA ;19/03/2020 00:00;20/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396282
Secretaria Estadual da Saúde - Gabinete do Secretário;133/2019;PREGÃO ELETRÔNICO;CELERA TECNOLOGIA;19/03/2020 00:00;20/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1385285
Departamento de Policia Judiciária da Capital;2020ne00043;DISPENSA;MUCCIO & MUCCIO LTDA;17/03/2020 00:00;20/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1400224
Centro de Reabilitaçao de Casa Branca;2020NE00344;PREGÃO ELETRÔNICO;CIRÚRGICA SÃO JOSÉ LTDA;19/03/2020 00:00;20/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396282
Unesp  Araraquara-Faculdade de Odontologia;0350/0256;INEXIGIBILIDADE;NOVA ANALÍTICA IMPORTAÇÃO E EXPORTAÇÃO LTDA;17/03/2020 00:00;20/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1400853
Instituto da Assistência Médica ao Servidor Público Estadual;36/2020;PREGÃO ELETRÔNICO;CARDINAL HEALTH DO BRASIL LTDA;19/03/2020 00:00;20/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389726
Instituto da Assistência Médica ao Servidor Público Estadual;36/2020;PREGÃO ELETRÔNICO;ZAREK DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA;19/03/2020 00:00;20/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389726
Coordenadoria de Unidades Prisionais da Região Metropolitana de São Paulo;2020CT00037;DISPENSA;IMPRENSA OFICIAL DO ESTADO DE SÃO PAULO S/A ;17/02/2020 00:00;20/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394092
Centro Regional de Administração de Campinas;2020CT00039;CONVITE;DAFMAQ COMERCIAL LTDA-ME;13/03/2020 00:00;20/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392442
Centro Regional de Administração de Campinas;2020CT00040;CONVITE;BALEIRA LTDA. ME;13/03/2020 00:00;20/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392442
Diretoria de Ensino Região de Registro;44075;PREGÃO ELETRÔNICO;FC Clean Serv. de H. e T. e Lot. de V. Eirelli ME;17/03/2020 00:00;20/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391610
Centro Regional de Administração de Campinas;2020CT00041;CONVITE;MARIA ADALGIZA VIEIRA DA SILVA;13/03/2020 00:00;20/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392442
Instituto de Infectologia Emilio Ribas;2020CT00210;PREGÃO ELETRÔNICO;CONTROLL PHARMA COMERCIO DE MEDICAMENTOS;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390856
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00196;PREGÃO ELETRÔNICO;BIOFAC INDUSTRIA. COMERC. E REPRESENTAÇÃO ;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1354060
HOSP EST ESPEC EM REABILIT DR FRANCISCO RIBEIRO ARANTES;2020NE00266;CONVITE;Promefarma Repres. Com. Ltda;04/03/2020 00:00;12/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393707
Instituto de Infectologia Emilio Ribas;2020CT00211;PREGÃO ELETRÔNICO;DISTRICENTER DISTRIBUIDORA DE MEDICAMENTO;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390856
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00197;PREGÃO ELETRÔNICO;CIR. FERNANDES COM.MAT. CIR E HOS. SOCIED LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1354060
Instituto de Infectologia Emilio Ribas;2020CT00212;PREGÃO ELETRÔNICO;EXATA DISTRIBUIDORA DE MEDICAMENTOS EIREL;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390856
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00198;PREGÃO ELETRÔNICO;CIR. FERNANDES COM.MAT. CIR E HOS. SOCIED LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Instituto de Infectologia Emilio Ribas;2020CT00213;PREGÃO ELETRÔNICO;SEBASTIAO IVAN TOLEDO DE OLIVEIRA - ME;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391226
HOSP EST ESPEC EM REABILIT DR FRANCISCO RIBEIRO ARANTES;2020NE00267;CONVITE;Cristalia Prod. Quim. e Farmaceutico Ltda;04/03/2020 00:00;12/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393707
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00199;PREGÃO ELETRÔNICO;COMERCIAL 3ALBE LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Instituto de Infectologia Emilio Ribas;2020CT00214;PREGÃO ELETRÔNICO;AIRMED EIRELI - EPP;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00200;PREGÃO ELETRÔNICO;COMERCIAL 3ALBE LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Instituto de Infectologia Emilio Ribas;2020CT00215;PREGÃO ELETRÔNICO;MANZATOS FARMA EIRELI;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00201;PREGÃO ELETRÔNICO;NACIONAL COMERCIAL HOSPITALAR  S/A;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Instituto de Infectologia Emilio Ribas;2020CT00216;PREGÃO ELETRÔNICO;DANIELA CRISTINA SOUZA SANTOS - ME;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Centro de Detenção Provisória Dr. Felix Nobre de Campos - Taubaté;2020NE00103;DISPENSA;VALDINEI CELSO DA SILVA MEI;04/03/2020 00:00;12/03/2020 00:00;3;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398285
HOSP EST ESPEC EM REABILIT DR FRANCISCO RIBEIRO ARANTES;2020NE00268;CONVITE;Repress Distribuidora Ltda;04/03/2020 00:00;12/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393707
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00202;PREGÃO ELETRÔNICO;POLAR FIX IND.E COM. PROD. HOSPITALARES LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Instituto de Infectologia Emilio Ribas;2020CT00217;PREGÃO ELETRÔNICO;CAPROMED FARMACEUTICA LTDA -ME;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00203;PREGÃO ELETRÔNICO;POLAR FIX IND.E COM. PROD. HOSPITALARES LTDA;09/03/2020 00:00;12/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380395
Departamento Aeroviário do Estado de São Paulo;° 041/2019/DAESP;TOMADA DE PREÇOS;Val Rocha Engenharia LTDA;09/03/2020 00:00;12/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1360674
Instituto de Infectologia Emilio Ribas;2020CT00218;PREGÃO ELETRÔNICO;CRISTALIA PRODUTOS QUIM.E FARMACEUTICO LT;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Centro de Referência da Saúde da Mulher;554/2001;DISPENSA;REMAJ EMPREENDIMENTOS COMERCIAIS LTDA;04/10/2019 00:00;12/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1195830
Instituto de Infectologia Emilio Ribas;2020CT00219;PREGÃO ELETRÔNICO;CIRURGICA SAO JOSE LTDA;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384184
Fundação para a Conservação e a Produção Florestal do Estado de São Paulo;;COMPRA POR ATA DE REGISTRO DE PREÇO;PACHU AVIAÇÃO AGRÍCOLA LTDA;10/03/2020 00:00;12/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398765
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00092;PREGÃO ELETRÔNICO;SALK MEDICAL SERVICOS E COMERCIO DE PRODUTOS PARA ;11/03/2020 00:00;12/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1338814
Fundação Casa - Divisão Regional Sudoeste (DRS);DRS nº 011/2019;PREGÃO ELETRÔNICO;GABRIELA OLIVEIRA RIBEIRO CALDAS – ME;28/02/2020 00:00;12/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1360619
EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA;ASL/GPP/5533/01/2019;PREGÃO ELETRÔNICO;Hidromar Industria Química Ltda.;11/03/2020 00:00;12/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1385916
Centro de Referência da Saúde da Mulher;522/92/05;DISPENSA;CRUZADA PRO INFANCIA;31/12/2019 00:00;12/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1125322
EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA;ASL/PE/6007/01/2019;DISPENSA;Fundação Patrimônio Histórico da Energia e Saneame;02/08/2019 00:00;12/03/2020 00:00;7;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1335492
Penitenciária Ozias Lúcio dos Santos de Pacaembu;008/2020PPAC;PREGÃO ELETRÔNICO;COMPANHIA ULTRAGÁS S/A;01/01/2020 00:00;12/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380588
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00190;PREGÃO ELETRÔNICO;COLOPLAST DO BRASIL LTDA;02/03/2020 00:00;12/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388309
Instituto de Infectologia Emilio Ribas;2020CT00220;PREGÃO ELETRÔNICO;AZULPHARMA DISTRIBUIDORA DE MEDICAMENTOS;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391461
Sabesp - Unidade de Negócios de Baixo do Parapanema - Presidente Prudente;04406/19-03;LICITAÇÃO 13.303 (EXCETO PREGÃO);BERMAD BRASIL INDÚSTRIA DE VÁLVULAS LTDA;09/03/2020 00:00;12/03/2020 00:00;120;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1376490
Instituto de Infectologia Emilio Ribas;2020CT00221;PREGÃO ELETRÔNICO;PABLO PEIXOTO DOS SANTOS-ME ;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391461
Instituto de Infectologia Emilio Ribas;2020CT00222;PREGÃO ELETRÔNICO;CONTROLL PHARMA COMERCIO DE MEDICAMENTOS;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391461
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00090;PREGÃO ELETRÔNICO;CIRURGICA PARMA LTDA – ME ;11/03/2020 00:00;12/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1327898
Penitenciária Ozias Lúcio dos Santos de Pacaembu;107/18PPAC;PREGÃO ELETRÔNICO;TELEFÔNICA BRASIL S.A.;25/01/2020 00:00;12/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1267946
Instituto de Infectologia Emilio Ribas;2020CT00223;PREGÃO ELETRÔNICO;DANIELA CRISTINA SOUZA SANTOS - ME;09/03/2020 00:00;12/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391461
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE000091;PREGÃO ELETRÔNICO;CIRURGICA PARMA LTDA – ME ;11/03/2020 00:00;12/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1340378
Sabesp -Companhia de Saneamento Básico de Franca;05420/19-02;LICITAÇÃO 13.303 (EXCETO PREGÃO);IMBIL SERVICE EIRELI;11/03/2020 00:00;12/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386240
Fundação Casa - Divisão Regional Sudoeste (DRS);nº 001/2019 – DRS;PREGÃO ELETRÔNICO;CAMBRALEITE LOCADORA DE VEÍCULOS LTDA – EPP;28/02/2020 00:00;12/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1289754
Penitenciária Ozias Lúcio dos Santos de Pacaembu;023/2020PPAC;CHAMADA PÚBLICA;FABRICIO LIMA GONÇALVES;14/01/2020 00:00;12/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374752
Instituto da Assistência Médica ao Servidor Público Estadual;33/2020;PREGÃO ELETRÔNICO;ABBOTT LABORATÓRIOS DO BRASIL LTDA;10/02/2020 00:00;12/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1295429
Penitenciária Ozias Lúcio dos Santos de Pacaembu;024/2020PPAC;CHAMADA PÚBLICA;ANTONIO DONIZETE MUNIZ;14/01/2020 00:00;12/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374752
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00093;PREGÃO ELETRÔNICO;CIRÚRGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER;11/03/2020 00:00;12/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1340891
Secretaria Estadual da Saúde - Gabinete do Secretário;142/2019;PREGÃO ELETRÔNICO;MEDTRONIC;10/03/2020 00:00;12/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391081
Fundação para o Desenvolvimento da Educação;36/00506/20/05-001;PREGÃO ELETRÔNICO;BELLINEA INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA- EPP;04/03/2020 00:00;12/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1366445
Fundação para o Desenvolvimento da Educação;36/00511/20/05-001;PREGÃO ELETRÔNICO;BELLINEA INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA- EPP;04/03/2020 00:00;12/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1346441
